comment,label
Can't believe people like this,toxic
Thanks for the content,supportive
Can't believe people like this,toxic
Best tutorial I've seen,supportive
You're such a loser,toxic
You're a genius,supportive
This is a trash,toxic
Awesome explanation,supportive
You're such a loser,toxic
I learned a lot,supportive
Cringe Content,toxic
Best tutorial I've seen,supportive
Waste of time,toxic
Great job,supportive
You're such a loser,toxic
Great job,supportive
Worst video ever,toxic
I learned a lot,supportive
You're such a loser,toxic
Great job,supportive
Worst video ever,toxic
This helped me a lot,supportive
Clickbait title,toxic
You're amazing,supportive
This is a trash,toxic
You're amazing,supportive
Cringe Content,toxic
You're amazing,supportive
Waste of time,toxic
Great job,supportive
you're so dumb,toxic
Awesome explanation,supportive
This is a trash,toxic
So clear and helpful,supportive
You're such a loser,toxic
Best tutorial I've seen,supportive
You're such a loser,toxic
Great job,supportive
Clickbait title,toxic
You're a genius,supportive
Waste of time,toxic
Thanks for the content,supportive
you're so dumb,toxic
So clear and helpful,supportive
Clickbait title,toxic
Best tutorial I've seen,supportive
you're so dumb,toxic
You're amazing,supportive
This is a trash,toxic
You're amazing,supportive
This is a trash,toxic
Great job,supportive
Waste of time,toxic
Keep up the great work,supportive
Cringe Content,toxic
Best tutorial I've seen,supportive
you're so dumb,toxic
This helped me a lot,supportive
You sound horrrible,toxic
So clear and helpful,supportive
you're so dumb,toxic
You're amazing,supportive
you're so dumb,toxic
You're a genius,supportive
you're so dumb,toxic
You're amazing,supportive
You're such a loser,toxic
Great job,supportive
Stop making content,toxic
Keep up the great work,supportive
Can't believe people like this,toxic
This helped me a lot,supportive
Can't believe people like this,toxic
So clear and helpful,supportive
This is a trash,toxic
Best tutorial I've seen,supportive
You sound horrrible,toxic
You're amazing,supportive
Stop making content,toxic
Keep up the great work,supportive
you're so dumb,toxic
You're amazing,supportive
Cringe Content,toxic
Thanks for the content,supportive
You sound horrrible,toxic
You're amazing,supportive
Stop making content,toxic
Keep up the great work,supportive
you're so dumb,toxic
Keep up the great work,supportive
You're such a loser,toxic
Thanks for the content,supportive
Waste of time,toxic
You're a genius,supportive
You sound horrrible,toxic
Awesome explanation,supportive
you're so dumb,toxic
You're a genius,supportive
Cringe Content,toxic
This helped me a lot,supportive
